productid,category,groupid,name,alternate,price,color1,color2,color3,color4,color5,image1,image2,image3,image4,image5,country,city,state,timing,also_appears_in_category
com.flashforceapp.pumasaway,Club Soccer MX 🇲🇽,390,Pumas,Away,0.99,FFFFFF,a9975b,272d56,,,,,,,,Mexico,,,6_4_2,
com.flashforceapp.tigresuanlhome,Club Soccer MX 🇲🇽,391,Tigres UANL,Home,0.99,f8af1f,1c53a0,,,,,,,,,Mexico,,,6_4,
com.flashforceapp.tigresuanlaway,Club Soccer MX 🇲🇽,391,Tigres UANL,Away,0.99,FFFFFF,1c53a0,,,,,,,,,Mexico,,,6_4,
com.flashforceapp.tijuanahome,Club Soccer MX 🇲🇽,392,Tijuana,Home,0.99,ed1b26,000000,,,,,,,,,Mexico,,,6_4,
com.flashforceapp.tijuanaaway,Club Soccer MX 🇲🇽,392,Tijuana,Away,0.99,FFFFFF,ed1b26,000000,,,,,,,,Mexico,,,6_4_2,
com.flashforceapp.tolucahome,Club Soccer MX 🇲🇽,393,Toluca,Home,0.99,e51636,FFFFFF,,,,,,,,,Mexico,,,6_4,
com.flashforceapp.tolucaaway,Club Soccer MX 🇲🇽,393,Toluca,Away,0.99,FFFFFF,e51636,,,,,,,,,Mexico,,,6_4,
com.flashforceapp.unamhome,Club Soccer MX 🇲🇽,394,UNAM,Home,0.99,202c56,ac965a,,,,,,,,,Mexico,,,6_4,
com.flashforceapp.veracruzhome,Club Soccer MX 🇲🇽,395,Veracruz,Home,0.99,ea222c,18315a,FFFFFF,,,,,,,,Mexico,,,6_4_2,
com.flashforceapp.veracruzaway,Club Soccer MX 🇲🇽,395,Veracruz,Away,0.99,18315a,FFFFFF,ea222c,,,,,,,,Mexico,,,6_4_2,
com.flashforceapp.borussiadortmundhome,Club Soccer DE 🇩🇪,396,Borussia Dortmund,Home,0.99,fde100,000000,,,,,,,,,Germany,,,6_4,
com.flashforceapp.borussiadortmundaway,Club Soccer DE 🇩🇪,396,Borussia Dortmund,Away,0.99,000000,fde100,,,,,,,,,Germany,,,6_4,
com.flashforceapp.borussiadortmundthird,Club Soccer DE 🇩🇪,396,Borussia Dortmund,Third,0.99,FFFFFF,fde100,000000,,,,,,,,Germany,,,6_4_2,
com.flashforceapp.bayernmunchenhome,Club Soccer DE 🇩🇪,397,Bayern Munchen,Home,0.99,ed1248,2e6abd,FFFFFF,,,,,,,,Germany,,,6_4_2,
com.flashforceapp.bayernmunchenaway,Club Soccer DE 🇩🇪,397,Bayern Munchen,Away,0.99,FFFFFF,ed1248,2e6abd,,,,,,,,Germany,,,6_4_2,
com.flashforceapp.bayernmunchenthird,Club Soccer DE 🇩🇪,397,Bayern Munchen,Third,0.99,2e6abd,ed1248,,,,,,,,,Germany,,,6_4,
com.flashforceapp.schalke04home,Club Soccer DE 🇩🇪,398,Schalke 04,Home,0.99,0060a9,FFFFFF,,,,,,,,,Germany,,,6_4,
com.flashforceapp.schalke04away,Club Soccer DE 🇩🇪,398,Schalke 04,Away,0.99,FFFFFF,0060a9,,,,,,,,,Germany,,,6_4,
com.flashforceapp.kolnhome,Club Soccer DE 🇩🇪,399,Koln,Home,0.99,FFFFFF,e02424,,,,,,,,,Germany,,,6_4,
com.flashforceapp.eintrachtfrankfurthome,Club Soccer DE 🇩🇪,400,Eintracht Frankfurt,Home,0.99,cc0000,000000,,,,,,,,,Germany,,,6_4,
com.flashforceapp.eintrachtfrankfurtaway,Club Soccer DE 🇩🇪,400,Eintracht Frankfurt,Away,0.99,FFFFFF,000000,,,,,,,,,Germany,,,6_4,
com.flashforceapp.bayerleverkusenhome,Club Soccer DE 🇩🇪,401,Bayer Leverkusen,Home,0.99,000000,e2001a,,,,,,,,,Germany,,,6_4,
com.flashforceapp.bayerleverkusenaway,Club Soccer DE 🇩🇪,401,Bayer Leverkusen,Away,0.99,FFFFFF,000000,e2001a,,,,,,,,Germany,,,6_4_2,
com.flashforceapp.vfbstuttgarthome,Club Soccer DE 🇩🇪,402,VfB Stuttgart,Home,0.99,FFFFFF,e32219,,,,,,,,,Germany,,,6_4,
com.flashforceapp.vfbstuttgartaway,Club Soccer DE 🇩🇪,402,VfB Stuttgart,Away,0.99,e32219,FFFFFF,,,,,,,,,Germany,,,6_4,
com.flashforceapp.vfbstuttgartthird,Club Soccer DE 🇩🇪,402,VfB Stuttgart,Third,0.99,000000,e32219,,,,,,,,,Germany,,,6_4,
com.flashforceapp.internazionalehome,Club Soccer IT 🇮🇹,403,Internazionale,Home,0.99,1266ab,000000,1266ab,000000,,,,,,,Italy,,,6_4_2_2,
com.flashforceapp.internazionaleaway,Club Soccer IT 🇮🇹,403,Internazionale,Away,0.99,FFFFFF,1266ab,000000,,,,,,,,Italy,,,6_4_2,
com.flashforceapp.fiorentinahome,Club Soccer IT 🇮🇹,404,Fiorentina,Home,0.99,420a92,FFFFFF,ce0000,,,,,,,,Italy,,,6_4_2,
com.flashforceapp.fiorentinaaway,Club Soccer IT 🇮🇹,404,Fiorentina,Away,0.99,FFFFFF,420a92,,,,,,,,,Italy,,,6_4,
com.flashforceapp.romahome,Club Soccer IT 🇮🇹,405,Roma,Home,0.99,b30838,f89728,,,,,,,,,Italy,,,6_4,
com.flashforceapp.romaaway,Club Soccer IT 🇮🇹,405,Roma,Away,0.99,FFFFFF,f89728,b30838,,,,,,,,Italy,,,6_4_2,
com.flashforceapp.palermohome,Club Soccer IT 🇮🇹,406,Palermo,Home,0.99,f7b7d3,000000,,,,,,,,,Italy,,,6_4,
com.flashforceapp.palermoaway,Club Soccer IT 🇮🇹,406,Palermo,Away,0.99,FFFFFF,000000,,,,,,,,,Italy,,,6_4,
com.flashforceapp.a.c.milanhome,Club Soccer IT 🇮🇹,407,A.C. Milan,Home,0.99,fb090b,000000,fb090b,000000,,,,,,,Italy,,,6_4_2_2,
com.flashforceapp.a.c.milanaway,Club Soccer IT 🇮🇹,407,A.C. Milan,Away,0.99,FFFFFF,fb090b,000000,,,,,,,,Italy,,,6_4_2,
com.flashforceapp.frosinonehome,Club Soccer IT 🇮🇹,408,Frosinone,Home,0.99,fed104,004393,,,,,,,,,Italy,,,6_4,
com.flashforceapp.genoahome,Club Soccer IT 🇮🇹,409,Genoa,Home,0.99,00295b,da2a36,,,,,,,,,Italy,,,6_4,
com.flashforceapp.laziohome,Club Soccer IT 🇮🇹,410,Lazio,Home,0.99,FFFFFF,15366f,,,,,,,,,Italy,,,6_4,
com.flashforceapp.lazioaway,Club Soccer IT 🇮🇹,410,Lazio,Away,0.99,FFFFFF,000000,87d8f7,d7a819,,,,,,,Italy,,,6_4_2_2,
com.flashforceapp.napolihome,Club Soccer IT 🇮🇹,411,Napoli,Home,0.99,59abe1,FFFFFF,,,,,,,,,Italy,,,6_4,
com.flashforceapp.napoliaway,Club Soccer IT 🇮🇹,411,Napoli,Away,0.99,000000,59abe1,2651a5,,,,,,,,Italy,,,6_4_2,
com.flashforceapp.juventushome,Club Soccer IT 🇮🇹,412,Juventus,Home,0.99,FFFFFF,000000,FFFFFF,000000,,,,,,,Italy,,,6_4_2_2,
com.flashforceapp.juventusaway,Club Soccer IT 🇮🇹,412,Juventus,Away,0.99,f799c0,000000,e6106c,FFFFFF,,,,,,,Italy,,,6_4_2_2,
com.flashforceapp.parmahome,Club Soccer IT 🇮🇹,413,Parma,Home,0.99,fed104,283c95,,,,,,,,,Italy,,,6_4,
com.flashforceapp.torinohome,Club Soccer IT 🇮🇹,414,Torino,Home,0.99,881f19,FFFFFF,,,,,,,,,Italy,,,6_4,
com.flashforceapp.udinesehome,Club Soccer IT 🇮🇹,415,Udinese,Home,0.99,000000,FFFFFF,,,,,,,,,Italy,,,6_4,
com.flashforceapp.bolognahome,Club Soccer IT 🇮🇹,416,Bologna,Home,0.99,114fa2,ec4336,,,,,,,,,Italy,,,6_4,
com.flashforceapp.bolognaaway,Club Soccer IT 🇮🇹,416,Bologna,Away,0.99,FFFFFF,ec4336,,,,,,,,,Italy,,,6_4,
com.flashforceapp.veronahome,Club Soccer IT 🇮🇹,417,Verona,Home,0.99,ffed00,172983,,,,,,,,,Italy,,,6_4,
com.flashforceapp.atleticomadridhome,Club Soccer ES 🇪🇸,418,Atletico Madrid,Home,0.99,d42e12,FFFFFF,,,,,,,,,Spain,,,6_4,
com.flashforceapp.barcelonahome,Club Soccer ES 🇪🇸,419,Barcelona,Home,0.99,a50044,004d98,a50044,004d98,,,,,,,Spain,,,6_4_2_2,
com.flashforceapp.barcelonaaway,Club Soccer ES 🇪🇸,419,Barcelona,Away,0.99,ffed02,004d98,ffed02,004d98,,,,,,,Spain,,,6_4_2_2,
com.flashforceapp.getafehome,Club Soccer ES 🇪🇸,420,Getafe,Home,0.99,185f9f,FFFFFF,,,,,,,,,Spain,,,,
com.flashforceapp.villarealhome,Club Soccer ES 🇪🇸,421,Villareal,Home,0.99,ffe667,005187,,,,,,,,,Spain,,,8_2,
com.flashforceapp.celtadevigoaway,Club Soccer ES 🇪🇸,422,Celta de Vigo,Away,0.99,8ac3ee,000000,8ac3ee,000000,,,,,,,Spain,,,6_4_2_2,
com.flashforceapp.espanyolhome,Club Soccer ES 🇪🇸,423,Espanyol,Home,0.99,1e6bc0,FFFFFF,,,,,,,,,Spain,,,6_4,
com.flashforceapp.espanyolaway,Club Soccer ES 🇪🇸,423,Espanyol,Away,0.99,ff1119,1e6bc0,FFFFFF,,,,,,,,Spain,,,6_4_2,
com.flashforceapp.deportivolacorunahome,Club Soccer ES 🇪🇸,424,Deportivo La Coruna,Home,0.99,0090c6,FFFFFF,,,,,,,,,Spain,,,6_4,
com.flashforceapp.deportivolacorunaaway,Club Soccer ES 🇪🇸,424,Deportivo La Coruna,Away,0.99,FFFFFF,afdcfd,db5232,000000,,,,,,,Spain,,,6_4_2_2,
com.flashforceapp.sevillahome,Club Soccer ES 🇪🇸,425,Sevilla,Home,0.99,FFFFFF,cb0f20,,,,,,,,,Spain,,,5_2,
com.flashforceapp.sportinggijonhome,Club Soccer ES 🇪🇸,426,Sporting Gijon,Home,0.99,e2001a,FFFFFF,1c42a5,,,,,,,,Spain,,,6_4_2,
com.flashforceapp.sportinggijonaway,Club Soccer ES 🇪🇸,426,Sporting Gijon,Away,0.99,e2001a,FFFFFF,,,,,,,,,Spain,,,6_4,
com.flashforceapp.rayovallecanohome,Club Soccer ES 🇪🇸,427,Rayo Vallecano,Home,0.99,FFFFFF,e32219,,,,,,,,,Spain,,,4_2,
com.flashforceapp.realbetishome,Club Soccer ES 🇪🇸,428,Real Betis,Home,0.99,00954c,FFFFFF,00954c,FFFFFF,,,,,,,Spain,,,6_4_2_2,
com.flashforceapp.realmadridhome,Club Soccer ES 🇪🇸,429,Real Madrid,Home,0.99,FFFFFF,ffb700,,,,,,,,,Spain,,,6_2,
com.flashforceapp.valladolidhome,Club Soccer ES 🇪🇸,430,Valladolid,Home,0.99,931b89,FFFFFF,,,,,,,,,Spain,,,6_4,
com.flashforceapp.valenciahome,Club Soccer ES 🇪🇸,431,Valencia,Home,0.99,e42219,FFFFFF,,,,,,,,,Spain,,,2_6,
com.flashforceapp.athleticbilbaohome,Club Soccer ES 🇪🇸,432,Athletic Bilbao,Home,0.99,FFFFFF,ee2523,FFFFFF,ee2523,,,,,,,Spain,,,6_4_2_2,
com.flashforceapp.athleticbilbaoaway,Club Soccer ES 🇪🇸,432,Athletic Bilbao,Away,0.99,000000,ee2523,,,,,,,,,Spain,,,6_4,
com.flashforceapp.realsociedadhome,Club Soccer ES 🇪🇸,433,Real Sociedad,Home,0.99,FFFFFF,143c8b,FFFFFF,143c8b,,,,,,,Spain,,,6_4_2_2,
com.flashforceapp.fluminensefchome,Club Soccer BR 🇧🇷,434,Fluminense FC,Home,0.99,870a28,00613c,FFFFFF,,,,,,,,Brazil,,,6_4_2,
com.flashforceapp.fluminensefcaway,Club Soccer BR 🇧🇷,434,Fluminense FC,Away,0.99,FFFFFF,870a28,00613c,,,,,,,,Brazil,,,6_4_2,
com.flashforceapp.cruzeiroechome,Club Soccer BR 🇧🇷,435,Cruzeiro EC,Home,0.99,0059a0,ffffff,,,,,,,,,Brazil,,,6_4,
com.flashforceapp.cruzeiroecaway,Club Soccer BR 🇧🇷,435,Cruzeiro EC,Away,0.99,ffffff,0059a0,,,,,,,,,Brazil,,,6_4,
com.flashforceapp.vascodagamahome,Club Soccer BR 🇧🇷,436,Vasco da Gama,Home,0.99,000000,FFFFFF,e71e00,,,,,,,,Brazil,,,6_4_2,
com.flashforceapp.vascodagamaaway,Club Soccer BR 🇧🇷,436,Vasco da Gama,Away,0.99,FFFFFF,000000,e71e00,,,,,,,,Brazil,,,6_4_2,
com.flashforceapp.gremiofootballportoalegrensehome,Club Soccer BR 🇧🇷,437,Gremio Foot Ball Porto Alegrense,Home,0.99,0d80bf,1f1a17,FFFFFF,,,,,,,,Brazil,,,6_4_2,
com.flashforceapp.gremiofootballportoalegrenseaway,Club Soccer BR 🇧🇷,437,Gremio Foot Ball Porto Alegrense,Away,0.99,FFFFFF,0d80bf,1f1a17,,,,,,,,Brazil,,,6_4_2,
com.flashforceapp.sccorinthiaspaulistahome,Club Soccer BR 🇧🇷,438,SC Corinthias Paulista ,Home,0.99,FFFFFF,000000,,,,,,,,,Brazil,,,6_4,
com.flashforceapp.crflamengohome,Club Soccer BR 🇧🇷,439,CR Flamengo,Home,0.99,ff0000,000000,FFFFFF,,,,,,,,Brazil,,,6_4_2,
com.flashforceapp.crflamengoaway,Club Soccer BR 🇧🇷,439,CR Flamengo,Away,0.99,FFFFFF,000000,ff0000,,,,,,,,Brazil,,,6_4_2,
com.flashforceapp.sepalmeirashome,Club Soccer BR 🇧🇷,440,SE Palmeiras,Home,0.99,006536,FFFFFF,,,,,,,,,Brazil,,,6_4,
com.flashforceapp.sepalmeirasaway,Club Soccer BR 🇧🇷,440,SE Palmeiras,Away,0.99,FFFFFF,006536,,,,,,,,,Brazil,,,6_4,
com.flashforceapp.scinternacionalhome,Club Soccer BR 🇧🇷,441,SC Internacional,Home,0.99,e5050f,ffffff,,,,,,,,,Brazil,,,6_4,
com.flashforceapp.scinternacionalaway,Club Soccer BR 🇧🇷,441,SC Internacional,Away,0.99,ffffff,e5050f,,,,,,,,,Brazil,,,6_4,
com.flashforceapp.saopaulofchome,Club Soccer BR 🇧🇷,442,Sao Paulo FC,Home,0.99,FFFFFF,fe0000,000000,,,,,,,,Brazil,,,6_4_2,
com.flashforceapp.saopaulofcaway,Club Soccer BR 🇧🇷,442,Sao Paulo FC,Away,0.99,fe0000,000000,FFFFFF,,,,,,,,Brazil,,,6_4_2,
com.flashforceapp.botafogohome,Club Soccer BR 🇧🇷,443,Botafogo,Home,0.99,000000,FFFFFF,000000,FFFFFF,,,,,,,Brazil,,,6_4_4_2,
com.flashforceapp.corinthianshome,Club Soccer BR 🇧🇷,444,Corinthians,Home,0.99,000000,FFFFFF,000000,FFFFFF,,,,,,,Brazil,,,2_6_2_4,
com.flashforceapp.coritibahome,Club Soccer BR 🇧🇷,445,Coritiba,Home,0.99,00544d,FFFFFF,,,,,,,,,Brazil,,,6_4,
com.flashforceapp.fortalezahome,Club Soccer BR 🇧🇷,446,Fortaleza,Home,0.99,0d5aa5,FFFFFF,e31d1a,,,,,,,,Brazil,,,4_2_4,
com.flashforceapp.guaranihome,Club Soccer BR 🇧🇷,447,Guarani,Home,0.99,FFFFFF,006c51,,,,,,,,,Brazil,,,6_2,
com.flashforceapp.arsenaldesarandihome,Club Soccer AR 🇦🇷,448,Arsenal de Sarandi,Home,0.99,1d9dce,e91a21,,,,,,,,,Argentina,,,6_4,
com.flashforceapp.belgranohome,Club Soccer AR 🇦🇷,449,Belgrano,Home,0.99,84d7e9,FFFFFF,,,,,,,,,Argentina,,,6_4,
com.flashforceapp.bocajuniorshome,Club Soccer AR 🇦🇷,450,Boca Juniors,Home,0.99,00458a,fcb000,00458a,fcb000,,,,,,,Argentina,,,6_4_2_2,
com.flashforceapp.bocajuniorsaway,Club Soccer AR 🇦🇷,450,Boca Juniors,Away,0.99,FFFFFF,00458a,fcb000,,,,,,,,Argentina,,,6_4_2,
com.flashforceapp.godoycruzhome,Club Soccer AR 🇦🇷,451,Godoy Cruz,Home,0.99,3d53cb,FFFFFF,,,,,,,,,Argentina,,,6_4,
com.flashforceapp.huracanhome,Club Soccer AR 🇦🇷,452,Huracan,Home,0.99,FFFFFF,ed0000,,,,,,,,,Argentina,,,6_4,
com.flashforceapp.sanlorenzohome,Club Soccer AR 🇦🇷,453,San Lorenzo,Home,0.99,005096,ea1d25,005096,ea1d25,,,,,,,Argentina,,,6_4_2_2,
com.flashforceapp.sanlorenzoaway,Club Soccer AR 🇦🇷,453,San Lorenzo,Away,0.99,FFFFFF,ea1d25,FFFFFF,ea1d25,,,,,,,Argentina,,,6_4_2_2,
com.flashforceapp.sanmartinsjhome,Club Soccer AR 🇦🇷,454,San Martin SJ,Home,0.99,3ea03a,000000,3ea03a,000000,,,,,,,Argentina,,,6_4_2_2,
com.flashforceapp.rosariocentralhome,Club Soccer AR 🇦🇷,455,Rosario Central,Home,0.99,fcca19,142a6d,fcca19,142a6d,,,,,,,Argentina,,,6_4_2_2,
com.flashforceapp.rosariocentralaway,Club Soccer AR 🇦🇷,455,Rosario Central,Away,0.99,FFFFFF,fac919,FFFFFF,fac919,,,,,,,Argentina,,,6_4_2_2,
com.flashforceapp.independientehome,Club Soccer AR 🇦🇷,456,Independiente,Home,0.99,e2001a,000000,,,,,,,,,Argentina,,,6_4,
com.flashforceapp.independienteaway,Club Soccer AR 🇦🇷,456,Independiente,Away,0.99,FFFFFF,e2001a,,,,,,,,,Argentina,,,6_4,
com.flashforceapp.racingclubhome,Club Soccer AR 🇦🇷,457,Racing Club,Home,0.99,029cdc,ffffff,029cdc,ffffff,,,,,,,Argentina,,,6_4_2_2,
com.flashforceapp.racingclubaway,Club Soccer AR 🇦🇷,457,Racing Club,Away,0.99,000000,00273e,000000,00273e,,,,,,,Argentina,,,6_4_2_2,
com.flashforceapp.colonhome,Club Soccer AR 🇦🇷,458,Colon,Home,0.99,000000,e1171d,,,,,,,,,Argentina,,,4_4,
com.flashforceapp.riverplatehome,Club Soccer AR 🇦🇷,459,River Plate,Home,0.99,FFFFFF,eb2734,,,,,,,,,Argentina,,,6_4,
com.flashforceapp.riverplateaway,Club Soccer AR 🇦🇷,459,River Plate,Away,0.99,eb2734,FFFFFF,000000,,,,,,,,Argentina,,,6_4_2,
com.flashforceapp.estudianteslaplatahome,Club Soccer AR 🇦🇷,460,Estudiantes La Plata,Home,0.99,ff0000,FFFFFF,ff0000,FFFFFF,,,,,,,Argentina,,,6_4_2_2,
com.flashforceapp.estudianteslaplataaway,Club Soccer AR 🇦🇷,460,Estudiantes La Plata,Away,0.99,414141,ff0000,414141,ff0000,,,,,,,Argentina,,,6_4_2_2,
com.flashforceapp.newellsoldboyshome,Club Soccer AR 🇦🇷,461,Newells Old Boys,Home,0.99,e5231e,000000,FFFFFF,,,,,,,,Argentina,,,6_4_2,
com.flashforceapp.newellsoldboysaway,Club Soccer AR 🇦🇷,461,Newells Old Boys,Away,0.99,FFFFFF,e5231e,000000,,,,,,,,Argentina,,,6_4_2,
com.flashforceapp.argentinosjuniorshome,Club Soccer AR 🇦🇷,462,Argentinos Juniors,Home,0.99,FFFFFF,fb0b0e,FFFFFF,fb0b0e,,,,,,,Argentina,,,6_4_2_2,
com.flashforceapp.argentinosjuniorsaway,Club Soccer AR 🇦🇷,462,Argentinos Juniors,Away,0.99,fb0b0e,FFFFFF,fb0b0e,FFFFFF,,,,,,,Argentina,,,6_4_2_2,
com.flashforceapp.tigrehome,Club Soccer AR 🇦🇷,463,Tigre ,Home,0.99,2e2979,c91f28,,,,,,,,,Argentina,,,6_4,
com.flashforceapp.velezsarfieldhome,Club Soccer AR 🇦🇷,464,Velez Sarfield,Home,0.99,FFFFFF,2b4e8b,,,,,,,,,Argentina,,,6_4,
com.flashforceapp.velezsarfieldaway,Club Soccer AR 🇦🇷,464,Velez Sarfield,Away,0.99,2b4e8b,FFFFFF,,,,,,,,,Argentina,,,6_4,
com.flashforceapp.arsenalhome,Club Soccer UK 🇬🇧,465,Arsenal,Home,0.99,ef0107,FFFFFF,,,,,,,,,UK,,,6_2,
com.flashforceapp.chelseahome,Club Soccer UK 🇬🇧,466,Chelsea,Home,0.99,034694,FFFFFF,,,,,,,,,UK,,,7_2,
com.flashforceapp.leicesterhome,Club Soccer UK 🇬🇧,467,Leicester,Home,0.99,2143be,FFFFFF,,,,,,,,,UK,,,6_2,
com.flashforceapp.liverpoolhome,Club Soccer UK 🇬🇧,468,Liverpool,Home,0.99,d2131a,FFFFFF,,,,,,,,,UK,,,6_2,
com.flashforceapp.manchestercityhome,Club Soccer UK 🇬🇧,469,Manchester City,Home,0.99,000000,5cbfeb,,,,,,,,,UK,,,2_6,
com.flashforceapp.manchesterunitedhome,Club Soccer UK 🇬🇧,470,Manchester United,Home,0.99,FFFFFF,db0811,000000,,,,,,,,UK,,,2_6_2,
com.flashforceapp.newcastlehome,Club Soccer UK 🇬🇧,471,Newcastle,Home,0.99,FFFFFF,000000,FFFFFF,000000,,,,,,,UK,,,4_4_2_2,
com.flashforceapp.tottenhamhome,Club Soccer UK 🇬🇧,472,Tottenham,Home,0.99,FFFFFF,001c58,,,,,,,,,UK,,,6_2,
com.flashforceapp.chicagofirehome,Club Soccer USA 🇺🇸,473,Chicago Fire,Home,0.99,ce1432,FFFFFF,00215b,,,,,,,,USA,,,4_4_2,
com.flashforceapp.coloradorapidshome,Club Soccer USA 🇺🇸,474,Colorado Rapids,Home,0.99,960a2c,FFFFFF,,,,,,,,,USA,,,6_2,
com.flashforceapp.columbuscrewhome,Club Soccer USA 🇺🇸,475,Columbus Crew,Home,0.99,fff200,000000,,,,,,,,,USA,,,6_4,
com.flashforceapp.dcunitedhome,Club Soccer USA 🇺🇸,476,DC United,Home,0.99,FFFFFF,ff1919,,,,,,,,,USA,,,7_3,
com.flashforceapp.fcdallashome,Club Soccer USA 🇺🇸,477,FC Dallas,Home,0.99,e81f3e,FFFFFF,2a4076,,,,,,,,USA,,,6_2_4,
com.flashforceapp.houstondynamohome,Club Soccer USA 🇺🇸,478,Houston Dynamo,Home,0.99,f68712,FFFFFF,,,,,,,,,USA,,,5_3,
com.flashforceapp.kansascitysportinghome,Club Soccer USA 🇺🇸,479,Kansas City Sporting,Home,0.99,002a5c,FFFFFF,,,,,,,,,USA,,,4_4,
com.flashforceapp.lagalaxyhome,Club Soccer USA 🇺🇸,480,LA Galaxy,Home,0.99,FFFFFF,00245d,ffd900,,,,,,,,USA,,,4_6_2,
com.flashforceapp.nymetrostarshome,Club Soccer USA 🇺🇸,481,NY MetroStars,Home,0.99,000000,c92931,f5d824,,,,,,,,USA,,,4_4_2,
com.flashforceapp.montrealimpacthome,Club Soccer USA 🇺🇸,482,Montreal Impact,Home,0.99,FFFFFF,065cab,000000,,,,,,,,USA,,,5_3_2,
com.flashforceapp.newenglandrevolutionhome,Club Soccer USA 🇺🇸,483,New England Revolution,Home,0.99,df3c3f,FFFFFF,,,,,,,,,USA,,,5_2,
com.flashforceapp.newyorkredbullshome,Club Soccer USA 🇺🇸,484,New York Red Bulls,Home,0.99,ed1e36,fabb23,FFFFFF,,,,,,,,USA,,,4_2_6,
com.flashforceapp.philadelphiaunionhome,Club Soccer USA 🇺🇸,485,Philadelphia Union,Home,0.99,b38708,002d55,,,,,,,,,USA,,,4_4,
com.flashforceapp.portlandtimbershome,Club Soccer USA 🇺🇸,486,Portland Timbers,Home,0.99,004711,FFFFFF,,,,,,,,,USA,,,6_2,
com.flashforceapp.realsaltlakehome,Club Soccer USA 🇺🇸,487,Real Salt Lake,Home,0.99,f1cb00,b30838,,,,,,,,,USA,,,2_6,
com.flashforceapp.sanjoseearthquakeshome,Club Soccer USA 🇺🇸,488,San Jose Earthquakes,Home,0.99,000000,0067b1,,,,,,,,,USA,,,2_6,
com.flashforceapp.seattlesoundershome,Club Soccer USA 🇺🇸,489,Seattle Sounders,Home,0.99,5d9741,005595,,,,,,,,,USA,,,6_2,
com.flashforceapp.torontohome,Club Soccer USA 🇺🇸,490,Toronto,Home,0.99,FFFFFF,e31937,,,,,,,,,USA,,,3_6,
com.flashforceapp.vancouverwhitecapshome,Club Soccer USA 🇺🇸,491,Vancouver Whitecaps,Home,0.99,001945,FFFFFF,,,,,,,,,USA,,,2_6,
com.flashforceapp.armystandard,USA Causes 🇺🇸,492,Army,Standard,0,000000,FFCB05,FFFFFF,,,,,,,,USA 🇺🇸,,,6_4_2,
com.flashforceapp.navystandard,USA Causes 🇺🇸,493,Navy,Standard,0,003F87,FCB514,,,,,,,,,USA 🇺🇸,,,6_4,
com.flashforceapp.airforcestandard,USA Causes 🇺🇸,494,Air Force,Standard,0,00308F,FFFFFF,,,,,,,,,USA 🇺🇸,,,6_4,
com.flashforceapp.marinesstandard,USA Causes 🇺🇸,495,Marines,Standard,0,CC0000,CC9900 ,,,,,,,,,USA 🇺🇸,,,6_4,
com.flashforceapp.coastguardstandard,USA Causes 🇺🇸,496,Coast Guard,Standard,0,FFFFFF,001489,BA0C2F,,,,,,,,USA 🇺🇸,,,6_4_2,
com.flashforceapp.democraticpartystandard,USA Causes 🇺🇸,497,Democratic Party,Standard,0.99,0000FF,FFFFFF,,,,,,,,,USA 🇺🇸,,,6_4,
com.flashforceapp.republicanpartystandard,USA Causes 🇺🇸,498,Republican Party,Standard,0.99,FF0000,FFFFFF,,,,,,,,,USA 🇺🇸,,,6_4,
com.flashforceapp.libertarianpartystandard,USA Causes 🇺🇸,499,Libertarian Party,Standard,0.99,DCB732,FFFFFF,,,,,,,,,USA 🇺🇸,,,6_4,
com.flashforceapp.greenpartystandard,USA Causes 🇺🇸,500,Green Party,Standard,0.99,0BDA51,FFFFFF,,,,,,,,,USA 🇺🇸,,,6_4,
com.flashforceapp.californiahighschoolsranchobuenavista,Schools 🎓,501,California High Schools,Rancho Buena Vista,0.99,800000,c0c0c0,,,,,,,,,USA 🇺🇸,,,6_4,
com.flashforceapp.californiahighschoolsvista,Schools 🎓,501,California High Schools,Vista,0.99,ff0000,000000,FFFFFF,,,,,,,,USA 🇺🇸,,,6_4_2,
com.flashforceapp.californiahighschoolsoceanside,Schools 🎓,501,California High Schools,Oceanside,0.99,33781f,000000,,,,,,,,,USA 🇺🇸,,,6_4,
com.flashforceapp.californiahighschoolselcamino,Schools 🎓,501,California High Schools,El Camino,0.99,2b1615,f3c518,,,,,,,,,USA 🇺🇸,,,6_4,
com.flashforceapp.californiahighschoolscarlsbad,Schools 🎓,501,California High Schools,Carlsbad,0.99,800080,000000,FFFFFF,FFFF00,,,,,,,USA 🇺🇸,,,6_4_2_2,
com.flashforceapp.californiahighschoolshthnorthcounty,Schools 🎓,501,California High Schools,HTH North County,0.99,0000FF,808080,FFFFFF,FFFF00,,,,,,,USA 🇺🇸,,,6_4_2_2,
com.flashforceapp.californiahighschoolssanmarcos,Schools 🎓,501,California High Schools,San Marcos,0.99,000080,C4D8E2,C0C0C0,,,,,,,,USA 🇺🇸,,,6_4_2,
com.flashforceapp.californiahighschoolsescondido,Schools 🎓,501,California High Schools,Escondido,0.99,FFA500,000000,,,,,,,,,USA 🇺🇸,,,6_4,
com.flashforceapp.californiahighschoolsorangeglen,Schools 🎓,501,California High Schools,Orange Glen,0.99,FF0000,FFFFFF,0000FF,,,,,,,,USA 🇺🇸,,,6_4_2,
com.flashforceapp.californiahighschoolslacostacanyon,Schools 🎓,501,California High Schools,La Costa Canyon,0.99,11772d,FFFFFF,0000FF,FFD700,,,,,,,USA 🇺🇸,,,6_4_2_2,
